بارکد,نام محصول,تامین کننده,قیمت خرید,قیمت اصلی,قیمت نهایی,کد تامین کننده
1234567890123,لپ‌تاپ ایسوس,شرکت فناوری پارس,150000000,180000000,160000000,ASUS001
2345678901234,موبایل سامسونگ,توزیع‌کننده موبایل,80000000,100000000,90000000,SAMSUNG001
3456789012345,هدفون بلوتوث,شرکت صوتی ایران,5000000,8000000,6000000,AUDIO001
4567890123456,کیبورد مکانیکی,فروشگاه کامپیوتر,12000000,15000000,13000000,KEYBOARD001
5678901234567,ماوس بی‌سیم,تجهیزات کامپیوتر,3000000,5000000,3500000,MOUSE001
6789012345678,مانیتور 24 اینچ,شرکت نمایشگر,40000000,50000000,45000000,MONITOR001
7890123456789,اسپیکر بلوتوث,فروشگاه صوتی,8000000,12000000,10000000,SPEAKER001
8901234567890,کیس کامپیوتر,تولیدکننده سخت‌افزار,20000000,25000000,22000000,CASE001
9012345678901,پاور 600 وات,شرکت برق ایران,15000000,20000000,17000000,POWER001
0123456789012,رم 16 گیگابایت,فروشگاه حافظه,30000000,40000000,35000000,RAM001
